Label ID,Segment,Clusters,"Market
Type","Market Area 
(Segments in Grey are for possible future use)",Offer,Speed,Term,Tracker,Internet Offer (Bank Account AutoPay),Internet Offer (Debit Card AutoPay),"Internet Offer 
(No AutoPay / 
CC AutoPay)",Internet Base,Internet Base,Speed Price,Speed,Internet Credit,Internet Credit,Additional Internet Credit,Additional Internet Credit,"Bank Account 
AutoPay 
Credit","Bank Account 
AutoPay 
Credit",Debit Card AutoPay Credit,Debit Card AutoPay Credit,"NEF
FEE","NEF
FEE",Gift w/ Internet,Gift w/ Internet,Additional Gift with Move Transfer,Additional Gift with Move Transfer
F0019027440A00WNC100F08251,WNC,"30,31","F,G",West New Build C,100M Fiber,100/100,00,-,$25 ,$25 ,$25 ,$0 ,-,$25 ,F(,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNC300F08251,WNC,"30,31","F,G",West New Build C,300M Fiber,300/300,12,.6,$35 ,$40 ,$45 ,$0 ,-,$75 ,MG,($25),(E,($5),Q.,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNC500F08251,WNC,"30,31","F,G",West New Build C,500M Fiber,500/500,12,.6,$45 ,$50 ,$55 ,$0 ,-,$95 ,53,($35),YX,($5),Q.,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WNC01GF08251,WNC,"30,31","F,G",West New Build C,1G Fiber,1G/1G,24,W(,$55 ,$60 ,$65 ,$0 ,-,$115 ,F^,($35),YX,($15),F!,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WNC050H08251,WNC,"30,31","A,B",West New Build C,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WNC100S08251,WNC,"30,31","A,B",West New Build C,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNC300H08251,WNC,"30,31","A,B",West New Build C,300M HFC,300/20,12,.6,$35 ,$40 ,$45 ,$0 ,1E,$75 ,EG,($25),(E,($5),Q.,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNC500S08251,WNC,"30,31","A,B",West New Build C,500M HFC,500/40,12,.6,$45 ,$50 ,$55 ,$0 ,1E,$95 ,FX,($35),YX,($5),Q.,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WNC01GS08251,WNC,"30,31","A,B",West New Build C,1G HFC,940/100,24,W(,$55 ,$60 ,$65 ,$0 ,1E,$115 ,TA,($35),YX,($15),F!,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WNC050H08251,WNC,"30,31","C,E",West New Build C,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WNC100S08251,WNC,"30,31","C,E",West New Build C,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WNC300M08251,WNC,"30,31","C,E",West New Build C,300M HFC_,300/20,12,.6,$35 ,$40 ,$45 ,$0 ,1E,$75 ,EG,($25),(E,($5),Q.,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNC500M08251,WNC,"30,31","C,E",West New Build C,500M HFC_,500/20,12,.6,$45 ,$50 ,$55 ,$0 ,1E,$95 ,OJ,($35),YX,($5),Q.,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A12WNC001H08251,WNC,"30,31","J,Q",West New Build C,1M HFC,1/256,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,IX,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNC003H08251,WNC,"30,31","J,Q",West New Build C,3M HFC,3/512,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,@Z,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNC015H08251,WNC,"30,31","J,Q",West New Build C,15M HFC,15/1.5,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,B#,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WNC030H08251,WNC,"30,31","J,Q",West New Build C,30M HFC,30/3,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$65 ,2I,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A00WWA050H08251,WWA,"58,59","M,P,F,G",West Winback A,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WWA100S08251,WWA,"58,59","M,P,F,G",West Winback A,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WWA300H08251,WWA,"58,59","M,P,F,G",West Winback A,300M HFC,300/20,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$75 ,EG,($25),(E,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWA500H08251,WWA,"58,59","M,P,F,G",West Winback A,500M HFC,500/20,12,.6,$50 ,$55 ,$60 ,$0 ,1E,$95 ,OJ,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WWA01GH08251,WWA,"58,59","M,P,F,G",West Winback A,1G HFC,940/35,24,W(,$60 ,$65 ,$70 ,$0 ,1E,$115 ,IG,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WWA100F08251,WWA,"58,59","F,G",West Winback A,100M Fiber,100/100,00,-,$25 ,$25 ,$25 ,$0 ,-,$25 ,F(,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WWA300F08251,WWA,"58,59","F,G",West Winback A,300M Fiber,300/300,12,.6,$40 ,$45 ,$50 ,$0 ,-,$75 ,MG,($25),(E,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWA500F08251,WWA,"58,59","F,G",West Winback A,500M Fiber,500/500,12,.6,$50 ,$55 ,$60 ,$0 ,-,$95 ,53,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WWA01GF08251,WWA,"58,59","F,G",West Winback A,1G Fiber,1G/1G,24,W(,$60 ,$65 ,$70 ,$0 ,-,$115 ,F^,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WWA050H08251,WWA,"58,59","A,B",West Winback A,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WWA100S08251,WWA,"58,59","A,B",West Winback A,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WWA300H08251,WWA,"58,59","A,B",West Winback A,300M HFC,300/20,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$75 ,EG,($25),(E,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWA500S08251,WWA,"58,59","A,B",West Winback A,500M HFC,500/40,12,.6,$50 ,$55 ,$60 ,$0 ,1E,$95 ,FX,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WWA01GS08251,WWA,"58,59","A,B",West Winback A,1G HFC,940/100,24,W(,$60 ,$65 ,$70 ,$0 ,1E,$115 ,TA,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A00WWA050H08251,WWA,"58,59","C,E",West Winback A,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WWA100S08251,WWA,"58,59","C,E",West Winback A,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WWA300M08251,WWA,"58,59","C,E",West Winback A,300M HFC_,300/20,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$75 ,EG,($25),(E,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWA500M08251,WWA,"58,59","C,E",West Winback A,500M HFC_,500/20,12,.6,$50 ,$55 ,$60 ,$0 ,1E,$95 ,OJ,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A12WWA001H08251,WWA,"58,59","J,Q",West Winback A,1M HFC,1/256,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,IX,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWA003H08251,WWA,"58,59","J,Q",West Winback A,3M HFC,3/512,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,@Z,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWA015H08251,WWA,"58,59","J,Q",West Winback A,15M HFC,15/1.5,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$55 ,B#,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWA030H08251,WWA,"58,59","J,Q",West Winback A,30M HFC,30/3,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$65 ,B#,($15),F!,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A00WWB050H08251,WWB,"91,92","M,P,F,G",West Winback B,50M HFC,50/5,00,-,$14.99 ,$14.99 ,$14.99 ,$0 ,!.,$14.99 ,5S,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A00WWB100S08251,WWB,"91,92","M,P,F,G",West Winback B,100M HFC,100/20,00,-,$25 ,$25 ,$25 ,$0 ,1E,$25 ,IQ,$0 ,-,$0 ,-,$0 ,-,$0 ,-,$0 ,G8,-,-,-,-
F0019027440A12WWB300H08251,WWB,"91,92","M,P,F,G",West Winback B,300M HFC,300/20,12,.6,$30 ,$35 ,$40 ,$0 ,1E,$75 ,EG,($35),YX,$0 ,-,($10),DJ,($5),D#,$0 ,G8,-,-,$100 Snappy Gift of Choice,!L
F0019027440A12WWB500H08251,WWB,"91,92","M,P,F,G",West Winback B,500M HFC,500/20,12,.6,$40 ,$45 ,$50 ,$0 ,1E,$95 ,OJ,($35),YX,($10),Q2,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
F0019027440A24WWB01GH08251,WWB,"91,92","M,P,F,G",West Winback B,1G HFC,940/35,24,W(,$50 ,$55 ,$60 ,$0 ,1E,$115 ,IG,($55),=D,$0 ,-,($10),DJ,($5),D#,$0 ,G8,6mo. Disney+/Hulu on Us,YN,$100 Snappy Gift of Choice,!L
